이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,고객 세그먼트,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,Cluster
이서영,1964-02-21,61,남,0229987447,jeongho43@live.com,울산광역시 남구 달동 23-5,mijeong80,2023-08-28,일반,준대형 세단,Santa-Fe ™,0,2024-08-09,56480000,현금,5,오프라인,2018-01,5
김준서,1956-12-27,69,여,0530544830,hwangjeongsu@live.com,경기도 수원시 영통구 원천동 12-34,yeonghyi20,2023-04-21,일반,픽업트럭,Santa-Fe ™,0,2024-07-02,80170000,현금,4,온라인,2018-01,5
김현준,1966-12-07,59,남,0315247998,aan@naver.com,서울특별시 강남구 역삼동 123-45,miyeongbag,2023-10-09,일반,픽업트럭,Avante (CN7 N),0,2023-04-28,66410000,현금,1,온라인,2020-05,1
박숙자,1975-12-10,50,여,0431031064,bagjeongja@dreamwiz.com,경상남도 창원시 의창구 봉곡동 48-6,eunseogim,2023-08-21,일반,픽업트럭,Santa-Fe ™,0,2024-10-15,57200000,카드,5,온라인,2018-01,5
백준서,1970-11-29,55,여,07075610121,seonyeong40@hotmail.com,대구광역시 수성구 범어동 55-3,gimyeongho,2023-09-13,일반,준중형 세단,NEXO (FE),1,2024-01-30,67180000,현금,2,오프라인,2018-01,7
한성훈,1975-06-05,50,남,0614017797,ngim@hotmail.com,대전광역시 유성구 봉명동 44-2,qyun,2022-04-21,일반,소형 해치백,Santa-Fe ™,0,2025-03-06,41600000,현금,5,오프라인,2018-01,4
이예원,1999-06-12,26,남,01085723457,minseog64@ju.net,광주광역시 서구 치평동 14-7,ghwang,2023-11-07,일반,픽업트럭,G70 (IK),0,2024-10-14,30670000,현금,5,온라인,2017-09,4
최서현,1968-06-11,57,남,0430796245,yeongsun54@baemungim.com,부산광역시 해운대구 우동 101-12,gyeongjabae,2023-05-07,일반,픽업트럭,Santa-Fe ™,0,2023-08-09,70970000,현금,3,온라인,2018-01,5
박옥자,2002-12-16,23,여,0117103793,minseog78@yu.com,서울특별시 강남구 역삼동 123-45,iseonyeong,2023-11-04,이탈가능,대형 suv,Santa-Fe ™,0,2025-02-16,64360000,현금,4,온라인,2018-01,3
김은서,1985-12-09,40,여,0519026026,bi@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,gimjuweon,2023-11-27,이탈가능,준대형 세단,NEXO (FE),1,2025-01-10,36230000,현금,5,온라인,2018-01,4
이순옥,1964-09-11,61,여,0182479858,baghyeonju@isongwag.com,서울특별시 강남구 역삼동 123-45,sunogi,2024-07-07,일반,대형 suv,Santa-Fe ™,0,2023-04-25,73410000,현금,2,오프라인,2018-01,1
이도윤,1960-12-31,65,남,0623012884,yeongjin28@gimsongo.com,대구광역시 수성구 범어동 55-3,sgweon,2022-08-17,일반,소형 해치백,Avante (CN7 N),0,2023-08-23,73150000,카드,5,오프라인,2020-05,5
서건우,1999-09-27,26,남,0630800548,fbag@nate.com,인천광역시 남동구 구월동 88-10,lcoe,2023-06-12,일반,준대형 세단,G70 (IK),0,2023-08-02,62270000,현금,3,온라인,2017-09,3
김영일,1978-06-04,47,남,07018581107,sunja23@ju.org,충청북도 청주시 상당구 낙실동 9-1,fo,2022-08-30,일반,소형 해치백,G80 (RG3),0,2024-07-06,37090000,현금,2,오프라인,2020-03,2
박도현,1983-06-25,42,여,0169604239,lgim@bagju.com,인천광역시 남동구 구월동 88-10,gimjuweon,2025-02-27,신규,중형 suv,NEXO (FE),1,2024-08-21,43760000,현금,4,오프라인,2018-01,4
황영순,1974-10-29,51,남,0430543941,seungminyun@ison.kr,인천광역시 남동구 구월동 88-10,wcoe,2023-06-10,일반,소형 해치백,Santa-Fe ™,0,2024-03-23,35610000,현금,2,오프라인,2018-01,2
안성민,1972-09-22,53,남,0419540034,yeonggil75@ganggim.org,충청북도 청주시 상당구 낙실동 9-1,haeunju,2022-10-01,일반,준중형 세단,NEXO (FE),1,2024-03-25,44550000,현금,4,오프라인,2018-01,4
이현준,1973-03-28,52,남,0412983351,jeongung91@live.com,대전광역시 유성구 봉명동 44-2,xi,2025-01-27,vip,대형 suv,Avante (CN7 N),0,2023-10-10,61350000,카드,5,온라인,2020-05,5
김예지,1958-10-02,67,남,0615692767,coeboram@nate.com,충청북도 청주시 상당구 낙실동 9-1,yeonghwan93,2023-06-29,이탈가능,준대형 세단,NEXO (FE),1,2023-06-02,69890000,현금,2,온라인,2018-01,1
이영길,1955-12-04,70,여,0189501292,hgim@naver.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-12-24,vip,소형 해치백,G70 (IK),0,2023-11-12,30220000,현금,1,오프라인,2017-09,2
이준호,1996-10-26,29,여,0647765924,sangceolgim@jusighoesa.com,울산광역시 남구 달동 23-5,miyeonggim,2024-03-08,일반,대형 suv,NEXO (FE),1,2023-11-30,57580000,현금,3,오프라인,2018-01,3
한성수,1959-04-25,66,여,0621606151,wyun@iim.net,경상남도 창원시 의창구 봉곡동 48-6,li,2022-07-16,이탈가능,준중형 세단,G80 (RG3),0,2023-06-08,62700000,카드,2,오프라인,2020-03,2
이명숙,1992-01-31,33,여,0517026616,songjaeho@gimi.com,인천광역시 남동구 구월동 88-10,jeonghyigim,2023-12-31,vip,준대형 세단,Avante (CN7 N),0,2023-09-23,68630000,현금,5,온라인,2020-05,0
김민석,2003-03-08,22,남,01023720942,songjeonghyi@naver.com,충청북도 청주시 상당구 낙실동 9-1,gwangsuson,2022-10-08,일반,픽업트럭,NEXO (FE),1,2023-08-10,85970000,카드,3,온라인,2018-01,0
고수민,1996-02-24,29,남,0531764468,pi@ju.com,경상북도 포항시 남구 대도동 19-2,gimjihye,2024-08-05,일반,중형 suv,NEXO (FE),1,2024-09-17,63570000,현금,1,온라인,2018-01,7
서지훈,1969-07-24,56,남,0550543608,seosiu@hotmail.com,부산광역시 해운대구 우동 101-12,bagseongho,2022-07-19,일반,소형 해치백,Avante (CN7 N),0,2023-11-02,32550000,현금,3,오프라인,2020-05,2
김현우,1984-12-28,41,여,0190362316,hyeonju80@ju.kr,경기도 수원시 영통구 원천동 12-34,yheo,2024-12-16,vip,중형 suv,Avante (CN7 N),0,2024-09-27,38140000,카드,5,오프라인,2020-05,4
김영환,1957-03-08,68,여,0442148023,yeonghwani@dreamwiz.com,전라남도 목포시 부주동 77-8,sangceolhwang,2023-06-06,vip,픽업트럭,G70 (IK),0,2024-10-18,88650000,카드,5,오프라인,2017-09,5
이건우,1958-07-27,67,남,0193782527,minjungim@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,xgim,2022-08-20,일반,소형 해치백,Avante (CN7 N),0,2024-04-22,47730000,카드,3,온라인,2020-05,2
진윤서,1988-01-21,37,남,0559099267,oseong@yu.com,경기도 수원시 영통구 원천동 12-34,gimseongho,2023-11-04,일반,준대형 세단,Avante (CN7 N),0,2023-12-28,88470000,카드,1,온라인,2020-05,1
이영자,1982-09-28,43,여,0312560870,baghaeun@naver.com,경기도 성남시 분당구 정자동 56-78,jia75,2023-01-16,vip,준대형 세단,G70 (IK),0,2024-01-29,83840000,현금,3,오프라인,2017-09,3
최명자,2000-11-20,25,남,0548945954,gimseonghun@gimno.com,광주광역시 서구 치평동 14-7,caeweon09,2024-06-28,vip,준대형 세단,NEXO (FE),1,2023-11-26,58930000,카드,1,온라인,2018-01,7
류민석,1971-03-27,54,남,07002152884,minji83@live.com,울산광역시 남구 달동 23-5,gimjihyeon,2022-10-13,vip,준중형 세단,G70 (IK),0,2024-01-01,67480000,현금,5,오프라인,2017-09,5
성정자,1988-10-08,37,남,0625749396,yeeun88@dreamwiz.com,울산광역시 남구 달동 23-5,imigyeong,2024-11-16,일반,픽업트럭,Santa-Fe ™,0,2023-10-12,66300000,현금,4,온라인,2018-01,4
이영환,1998-04-21,27,남,0449553033,yeongceol30@jusighoesa.kr,충청북도 청주시 상당구 낙실동 9-1,idoyun,2023-08-24,일반,소형 해치백,Santa-Fe ™,0,2023-11-03,70510000,현금,1,온라인,2018-01,3
이준영,2002-11-12,23,여,0541066090,mhwang@hanmail.net,서울특별시 강남구 역삼동 123-45,baggyeongsug,2025-01-20,신규,준대형 세단,Santa-Fe ™,0,2024-09-20,67020000,현금,1,온라인,2018-01,3
김경자,1962-11-22,63,여,0539459083,gimogja@gimgimbag.org,서울특별시 종로구 청운동 67-89,gojihye,2023-01-14,이탈가능,준대형 세단,G70 (IK),0,2023-12-21,68300000,카드,4,온라인,2017-09,5
이혜진,1956-05-07,69,여,0165436491,ycoe@dreamwiz.com,광주광역시 서구 치평동 14-7,jiweonmin,2024-06-10,일반,픽업트럭,G70 (IK),0,2023-03-14,42060000,현금,5,온라인,2017-09,5
곽옥순,2001-04-07,24,여,0247430405,yujini@hotmail.com,대전광역시 유성구 봉명동 44-2,jihyeyun,2023-01-01,일반,소형 해치백,Avante (CN7 N),0,2024-01-01,36550000,카드,3,오프라인,2020-05,6
김시우,1981-02-03,44,남,0514161404,bagjiu@daum.net,전라남도 목포시 부주동 77-8,jihugim,2023-08-07,일반,중형 suv,Santa-Fe ™,0,2025-01-20,84370000,현금,2,오프라인,2018-01,1
윤재호,1994-10-15,31,남,0192747240,pi@gimiheo.org,대구광역시 수성구 범어동 55-3,bagyeongsun,2022-06-15,일반,대형 suv,G80 (RG3),0,2023-10-13,54340000,현금,2,온라인,2020-03,6
강종수,1982-09-28,43,남,0541071543,seohyeonson@seoiha.com,대전광역시 유성구 봉명동 44-2,jihugim,2023-03-06,vip,준대형 세단,NEXO (FE),1,2024-07-26,39760000,카드,1,온라인,2018-01,7
성성수,1985-07-24,40,남,0637492202,yeonghwan20@gmail.com,충청북도 청주시 상당구 낙실동 9-1,mijeong41,2023-01-12,일반,준중형 세단,G80 (RG3),0,2023-12-15,48800000,현금,1,오프라인,2020-03,6
정지혜,1968-12-19,57,남,0647829705,junseo28@daum.net,경기도 성남시 분당구 정자동 56-78,ggang,2023-07-10,이탈가능,중형 suv,Avante (CN7 N),0,2024-07-21,79230000,현금,2,온라인,2020-05,1
손아름,1997-08-25,28,남,0627188934,ji@live.com,경상북도 포항시 남구 대도동 19-2,jinho57,2023-05-31,일반,대형 suv,NEXO (FE),1,2024-05-16,38860000,현금,3,온라인,2018-01,4
조성호,1985-05-11,40,여,0612229939,ygim@icoe.net,대구광역시 수성구 범어동 55-3,minjunheo,2023-10-06,일반,준중형 세단,Avante (CN7 N),0,2023-09-25,53910000,현금,3,온라인,2020-05,3
김수민,2000-07-04,25,남,0424482472,hhwang@gimi.kr,경기도 수원시 영통구 원천동 12-34,kgang,2022-03-13,일반,픽업트럭,G80 (RG3),0,2023-03-27,38900000,카드,1,온라인,2020-03,6
김민준,1958-09-02,67,남,0431656918,qyun@daum.net,전라남도 목포시 부주동 77-8,jihyegim,2024-01-12,이탈가능,대형 suv,NEXO (FE),1,2023-12-25,72930000,현금,1,오프라인,2018-01,1
이경숙,1997-01-22,28,여,0633188654,vseo@nate.com,충청남도 천안시 동남구 성성동 22-3,qcoe,2024-06-03,일반,준대형 세단,Avante (CN7 N),0,2023-10-20,55370000,현금,3,오프라인,2020-05,3
황도윤,1976-06-02,49,남,0113619602,sugja86@hanmail.net,서울특별시 종로구 청운동 67-89,yeonghyigim,2023-03-25,이탈가능,중형 suv,NEXO (FE),1,2023-11-29,65540000,현금,2,오프라인,2018-01,1
강영자,1956-03-06,69,여,0437955239,qyun@nate.com,충청북도 청주시 상당구 낙실동 9-1,lgim,2024-01-10,일반,준대형 세단,NEXO (FE),1,2025-01-31,46520000,현금,5,오프라인,2018-01,5
이지민,1989-10-30,36,여,0328299655,vgim@ju.net,경기도 성남시 분당구 정자동 56-78,imyeongsug,2022-07-27,일반,준대형 세단,G70 (IK),0,2024-01-19,77710000,현금,1,온라인,2017-09,3
남지연,1987-02-22,38,남,0531405696,minjae16@nate.com,경기도 수원시 영통구 원천동 12-34,hanyeongsig,2023-06-06,일반,준대형 세단,NEXO (FE),1,2023-04-22,51200000,현금,2,오프라인,2018-01,7
이은서,1963-10-11,62,남,0338184794,gwangsugang@daum.net,서울특별시 강남구 역삼동 123-45,jiahan,2022-08-12,일반,준중형 세단,G70 (IK),0,2024-11-11,79370000,현금,1,오프라인,2017-09,1
정예원,1971-07-20,54,여,0448839197,dgim@jigimryu.kr,경상북도 포항시 남구 대도동 19-2,sanghyeon96,2024-12-17,vip,소형 해치백,Avante (CN7 N),0,2023-10-08,68370000,현금,4,오프라인,2020-05,5
신성현,1968-07-06,57,남,0526914844,ahwang@jusighoesa.net,광주광역시 서구 치평동 14-7,jihugang,2023-05-06,vip,픽업트럭,NEXO (FE),1,2024-12-28,64060000,카드,5,오프라인,2018-01,5
민정호,1969-08-16,56,여,0412919081,seongsugim@naver.com,전라남도 목포시 부주동 77-8,sumini,2025-03-04,이탈가능,대형 suv,G70 (IK),0,2023-05-21,48970000,현금,5,오프라인,2017-09,5
박지원,1963-12-25,62,남,07013782398,hayun60@live.com,경상남도 창원시 의창구 봉곡동 48-6,fseo,2024-08-25,일반,소형 해치백,G80 (RG3),0,2024-05-23,72510000,현금,4,오프라인,2020-03,5
김영자,1976-10-26,49,남,0520773080,jia19@yu.kr,전라남도 목포시 부주동 77-8,iyujin,2024-04-28,vip,대형 suv,NEXO (FE),1,2024-05-25,31010000,현금,4,오프라인,2018-01,4
이서윤,1966-01-01,59,여,0320941834,ji@daum.net,서울특별시 강남구 역삼동 123-45,jeongsugyang,2023-03-14,vip,대형 suv,G70 (IK),0,2023-10-12,35130000,현금,4,온라인,2017-09,2
송지은,1954-07-31,71,여,0311940436,pcoe@daum.net,부산광역시 해운대구 우동 101-12,sugja08,2023-07-07,이탈가능,준대형 세단,G70 (IK),0,2024-10-29,81810000,카드,4,온라인,2017-09,5
이서연,1989-03-12,36,남,0544025332,gimjimin@dreamwiz.com,부산광역시 해운대구 우동 101-12,hyejinseo,2024-02-04,일반,준대형 세단,NEXO (FE),1,2023-12-05,36540000,카드,3,온라인,2018-01,7
김성호,1985-06-25,40,여,0163851242,ygim@hanmail.net,대구광역시 수성구 범어동 55-3,jia98,2022-08-04,이탈가능,소형 해치백,Santa-Fe ™,0,2024-03-02,49740000,현금,5,오프라인,2018-01,4
홍정숙,1955-01-05,70,남,0333391865,minjae03@gmail.com,광주광역시 서구 치평동 14-7,jeongung32,2022-10-19,vip,소형 해치백,Santa-Fe ™,0,2024-04-25,89890000,카드,5,오프라인,2018-01,5
박혜진,1978-05-30,47,남,0529254265,idonghyeon@nate.com,서울특별시 종로구 청운동 67-89,sgim,2022-07-09,일반,중형 suv,G70 (IK),0,2023-12-11,72730000,카드,1,오프라인,2017-09,1
이정훈,1962-04-15,63,남,0419564884,wi@jangjono.org,경기도 수원시 영통구 원천동 12-34,gyeongjaeom,2023-09-10,이탈가능,대형 suv,Avante (CN7 N),0,2025-01-11,34880000,현금,2,오프라인,2020-05,2
이승현,1982-02-17,43,여,0112201097,sanghun90@yuhanhoesa.net,대전광역시 유성구 봉명동 44-2,yeongsig47,2024-08-01,vip,준중형 세단,Avante (CN7 N),0,2024-07-17,54290000,카드,4,오프라인,2020-05,0
박채원,1964-11-10,61,여,0449042678,qmun@nate.com,부산광역시 해운대구 우동 101-12,yejison,2022-11-07,이탈가능,대형 suv,Avante (CN7 N),0,2024-10-14,72600000,현금,1,온라인,2020-05,1
김중수,1971-02-07,54,여,0326884921,jangyeongsun@seoian.org,울산광역시 남구 달동 23-5,doyun38,2023-12-31,일반,준대형 세단,NEXO (FE),1,2024-02-20,73080000,현금,4,온라인,2018-01,5
김영호,1999-07-28,26,여,0610092153,ogim@yu.kr,인천광역시 남동구 구월동 88-10,gimjeongsug,2022-09-21,vip,준중형 세단,Santa-Fe ™,0,2024-07-25,75840000,카드,4,온라인,2018-01,0
심동현,1999-01-19,26,여,07066159710,kcoe@gmail.com,서울특별시 강남구 역삼동 123-45,yejun41,2024-07-23,일반,대형 suv,G70 (IK),0,2024-07-16,76370000,현금,3,오프라인,2017-09,3
박민석,1957-08-08,68,남,0533828342,gohyeonji@live.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-02-15,일반,준중형 세단,G80 (RG3),0,2024-05-18,59640000,현금,2,온라인,2020-03,2
김병철,1969-01-04,56,남,0413241120,vgang@jusighoesa.kr,서울특별시 종로구 청운동 67-89,seonghaeun,2023-12-08,이탈가능,준대형 세단,G70 (IK),0,2023-08-07,83300000,현금,2,온라인,2017-09,1
서영길,1972-04-13,53,여,0435311236,hi@dreamwiz.com,대구광역시 수성구 범어동 55-3,pgo,2023-02-11,일반,소형 해치백,G80 (RG3),0,2023-11-03,53260000,현금,5,온라인,2020-03,5
홍현숙,1959-10-02,66,남,0433424176,jangjunhyeog@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,eunju52,2024-11-17,일반,픽업트럭,G80 (RG3),0,2024-10-16,89120000,현금,4,오프라인,2020-03,5
박아름,1956-10-06,69,남,0517912267,yejin22@gimcoe.org,전라남도 목포시 부주동 77-8,qryu,2022-07-16,vip,중형 suv,Santa-Fe ™,0,2023-12-28,48390000,카드,2,온라인,2018-01,2
김광수,1974-10-18,51,남,0113980609,yunogja@angim.com,대구광역시 수성구 범어동 55-3,zgim,2022-09-03,vip,중형 suv,NEXO (FE),1,2024-01-11,36880000,카드,3,온라인,2018-01,7
오민준,1988-05-29,37,남,0647312054,gimhyeonjeong@hwangbagryu.kr,울산광역시 남구 달동 23-5,yeonggil14,2024-08-13,이탈가능,소형 해치백,Santa-Fe ™,0,2025-02-28,89440000,현금,1,온라인,2018-01,1
김성현,1973-09-24,52,남,0623266677,gimseoyeong@yu.org,경기도 수원시 영통구 원천동 12-34,hayun28,2022-05-18,일반,중형 suv,G70 (IK),0,2025-03-05,73020000,현금,2,온라인,2017-09,1
김예진,1990-01-15,35,남,0425170040,ji@hotmail.com,광주광역시 서구 치평동 14-7,songjeonghyi,2024-03-17,vip,소형 해치백,Avante (CN7 N),0,2024-05-16,42530000,카드,1,온라인,2020-05,6
손준호,1986-03-05,39,남,07001507134,xgim@yu.kr,인천광역시 남동구 구월동 88-10,gimeunyeong,2023-03-05,일반,소형 해치백,G80 (RG3),0,2025-02-17,68170000,현금,1,오프라인,2020-03,1
최현우,1962-03-29,63,남,0633547740,jihyeongim@jusighoesa.kr,인천광역시 남동구 구월동 88-10,bagyujin,2024-02-19,일반,소형 해치백,Santa-Fe ™,0,2024-10-07,63320000,현금,5,오프라인,2018-01,5
배재현,2001-12-02,24,여,0547081976,dbag@daum.net,경기도 수원시 영통구 원천동 12-34,hyeonju98,2024-02-29,일반,대형 suv,G70 (IK),0,2023-05-09,83360000,현금,5,온라인,2017-09,0
서지영,1964-07-21,61,여,0447411486,jihun48@ju.kr,충청남도 천안시 동남구 성성동 22-3,isujin,2023-03-16,vip,준중형 세단,G70 (IK),0,2023-10-08,38190000,현금,2,오프라인,2017-09,2
김진호,2002-06-04,23,여,0183151577,gimhyeonjun@gimgo.net,부산광역시 해운대구 우동 101-12,haeunjo,2022-12-16,일반,픽업트럭,Santa-Fe ™,0,2023-06-16,79000000,현금,1,온라인,2018-01,3
이영철,1981-07-10,44,여,0312245926,iyeongsun@yu.org,인천광역시 남동구 구월동 88-10,hgang,2023-05-23,일반,준중형 세단,G70 (IK),0,2023-03-20,45860000,현금,5,오프라인,2017-09,4
서지원,1973-05-11,52,여,0516590158,gohyeonu@yuhanhoesa.com,전라남도 목포시 부주동 77-8,munjungsu,2023-06-29,vip,대형 suv,G80 (RG3),0,2025-01-22,67010000,현금,5,오프라인,2020-03,5
조선영,1981-02-27,44,여,0320863570,gimeunseo@live.com,서울특별시 종로구 청운동 67-89,sanghyeongo,2024-08-10,vip,픽업트럭,G70 (IK),0,2024-11-21,61290000,현금,2,오프라인,2017-09,3
권영자,1968-01-07,57,여,0174458406,fi@yu.org,경기도 수원시 영통구 원천동 12-34,jaehyeon94,2024-04-20,이탈가능,소형 해치백,G80 (RG3),0,2024-07-18,83280000,현금,2,온라인,2020-03,1
정은지,1980-02-11,45,남,0513269405,ji@nate.com,충청북도 청주시 상당구 낙실동 9-1,igim,2023-07-18,이탈가능,준중형 세단,Santa-Fe ™,0,2025-01-16,43090000,카드,3,온라인,2018-01,2
이경희,1968-09-13,57,남,0190316622,doyun69@gweonhwangseo.kr,경상남도 창원시 의창구 봉곡동 48-6,ogjabag,2022-06-14,일반,소형 해치백,G70 (IK),0,2023-11-25,59280000,현금,3,오프라인,2017-09,5
문승민,1970-05-23,55,여,0544705932,seojungim@ii.net,전라북도 전주시 완산구 덕진동 33-7,hi,2025-01-10,신규,픽업트럭,Santa-Fe ™,0,2024-07-19,57930000,현금,4,오프라인,2018-01,5
서서윤,2002-06-10,23,여,0321254223,ogsun81@yuhanhoesa.net,광주광역시 서구 치평동 14-7,hyeonju95,2023-02-18,일반,준중형 세단,Avante (CN7 N),0,2024-02-12,53260000,현금,5,온라인,2020-05,4
지현우,1997-12-18,28,남,0637021782,cunja82@yuhanhoesa.com,대구광역시 수성구 범어동 55-3,ibyeongceol,2022-10-04,일반,소형 해치백,G70 (IK),0,2025-01-13,56610000,현금,3,오프라인,2017-09,6
김현주,1979-05-16,46,남,0426011611,sanghungweon@seoanbaeg.kr,전라북도 전주시 완산구 덕진동 33-7,haeungim,2024-11-14,일반,중형 suv,NEXO (FE),1,2023-08-25,53180000,카드,4,오프라인,2018-01,4
박성수,1996-12-02,29,남,0190682325,seonghuni@nate.com,부산광역시 해운대구 우동 101-12,gimyujin,2022-10-19,일반,소형 해치백,Santa-Fe ™,0,2024-12-09,43840000,현금,5,오프라인,2018-01,4
이진호,1998-07-17,27,여,0283505965,eunjeong74@ihongbag.com,서울특별시 강남구 역삼동 123-45,gimsangceol,2022-12-15,일반,준중형 세단,G70 (IK),0,2023-07-06,65040000,현금,3,온라인,2017-09,3
김영순,1978-06-28,47,여,0181440592,yeweonyu@live.com,충청북도 청주시 상당구 낙실동 9-1,nha,2023-03-13,일반,대형 suv,NEXO (FE),1,2024-01-13,83610000,현금,2,오프라인,2018-01,3
류민수,1958-07-06,67,여,0423299343,vgim@hanji.org,충청북도 청주시 상당구 낙실동 9-1,ui,2022-10-26,일반,대형 suv,NEXO (FE),1,2023-08-04,39010000,현금,5,온라인,2018-01,5
장정훈,1996-01-21,29,남,0187002342,iujin@ju.com,광주광역시 서구 치평동 14-7,xgim,2023-10-21,이탈가능,소형 해치백,G80 (RG3),0,2024-01-24,84030000,현금,1,온라인,2020-03,1
정현지,1955-05-03,70,남,0115470199,jeongsu64@ju.kr,광주광역시 서구 치평동 14-7,hyeonsug49,2025-02-23,신규,준중형 세단,Avante (CN7 N),0,2024-10-10,84930000,현금,1,오프라인,2020-05,1
류영희,1973-07-04,52,여,0546531887,minjae88@gimi.org,경기도 성남시 분당구 정자동 56-78,fgim,2022-12-25,이탈가능,소형 해치백,G80 (RG3),0,2024-07-22,87610000,현금,2,오프라인,2020-03,1
김서현,1982-08-12,43,남,07022259369,gimjunseo@jusighoesa.com,전라북도 전주시 완산구 덕진동 33-7,boramo,2023-10-08,일반,중형 suv,Avante (CN7 N),0,2024-01-06,35370000,카드,1,오프라인,2020-05,6
김상철,1974-04-23,51,남,0420413141,xgim@hanmail.net,인천광역시 남동구 구월동 88-10,yangseoyeong,2024-01-19,일반,준중형 세단,G70 (IK),0,2024-10-17,39170000,현금,3,온라인,2017-09,2
김동현,1992-03-13,33,남,07055218455,gyeongsuggim@hanmail.net,서울특별시 종로구 청운동 67-89,pgim,2024-11-28,일반,준대형 세단,NEXO (FE),1,2023-08-04,42950000,현금,3,온라인,2018-01,7
안선영,1961-10-15,64,남,0175907839,haeunnam@naver.com,부산광역시 해운대구 우동 101-12,ii,2022-03-19,일반,픽업트럭,Avante (CN7 N),0,2024-01-21,32870000,현금,1,오프라인,2020-05,2
김명숙,2001-11-13,24,여,0118115410,gwangsucoe@jusighoesa.kr,경기도 수원시 영통구 원천동 12-34,vi,2022-08-03,이탈가능,소형 해치백,NEXO (FE),1,2025-02-10,62260000,카드,3,온라인,2018-01,3
이은정,1985-04-01,40,여,0436602321,yangseoyeong@daum.net,서울특별시 종로구 청운동 67-89,bagseungmin,2023-07-17,일반,준중형 세단,Santa-Fe ™,0,2024-06-21,88940000,현금,5,오프라인,2018-01,0
이지영,1978-03-06,47,여,0429665944,donghyeoni@jusighoesa.kr,전라북도 전주시 완산구 덕진동 33-7,yujingim,2023-12-20,vip,준대형 세단,G80 (RG3),0,2023-07-05,68400000,현금,1,온라인,2020-03,3
이진우,1969-10-25,56,여,0328741296,honggyeongsu@gmail.com,경기도 성남시 분당구 정자동 56-78,jojaeho,2023-08-20,vip,중형 suv,NEXO (FE),1,2024-03-29,45780000,현금,1,오프라인,2018-01,7
오서연,1995-07-07,30,여,0323664016,ojeonghun@yu.com,경기도 수원시 영통구 원천동 12-34,caeweon59,2022-10-24,일반,픽업트럭,Avante (CN7 N),0,2023-06-09,32920000,카드,1,온라인,2020-05,6
김정희,1997-10-12,28,여,0193115666,hanjeongung@ju.com,충청북도 청주시 상당구 낙실동 9-1,wi,2023-05-04,일반,준중형 세단,G70 (IK),0,2024-12-03,86690000,카드,3,온라인,2017-09,3
이지혜,2003-05-26,22,여,0518560687,ijinho@gmail.com,전라북도 전주시 완산구 덕진동 33-7,ecoe,2023-12-25,일반,픽업트럭,G70 (IK),0,2024-07-22,84800000,현금,3,온라인,2017-09,3
윤성훈,1955-06-23,70,여,0523660874,jjo@gmail.com,경기도 수원시 영통구 원천동 12-34,gimjeongsug,2023-06-26,일반,대형 suv,G80 (RG3),0,2023-03-25,83330000,현금,1,온라인,2020-03,1
김서연,1961-05-28,64,남,0194660745,yi@gmail.com,광주광역시 서구 치평동 14-7,dohyeonbae,2024-06-22,일반,준중형 세단,G70 (IK),0,2023-08-27,55580000,카드,5,오프라인,2017-09,5
손지후,1959-04-27,66,여,0535283443,qyun@hanmail.net,경기도 수원시 영통구 원천동 12-34,seongjinbae,2022-08-15,일반,소형 해치백,Avante (CN7 N),0,2025-02-10,54060000,현금,2,온라인,2020-05,2
전정수,2002-07-01,23,여,0437369120,yeongsuggim@live.com,경기도 성남시 분당구 정자동 56-78,byeongceol79,2025-03-07,이탈가능,중형 suv,NEXO (FE),1,2024-01-16,62760000,카드,2,오프라인,2018-01,3
구주원,1963-09-08,62,여,0613108327,gimyeeun@hanmail.net,충청북도 청주시 상당구 낙실동 9-1,lgweon,2024-02-27,일반,준대형 세단,G70 (IK),0,2024-12-26,67440000,현금,5,온라인,2017-09,5
박영호,1995-01-09,30,남,0429181515,seojun75@hotmail.com,경기도 수원시 영통구 원천동 12-34,gwangsu15,2024-04-20,일반,픽업트럭,NEXO (FE),1,2023-06-11,44780000,현금,4,오프라인,2018-01,4
박현정,1977-03-28,48,남,01038015326,siusin@najeonggim.kr,서울특별시 종로구 청운동 67-89,jeongjaryu,2023-06-24,vip,소형 해치백,NEXO (FE),1,2024-07-21,46850000,현금,1,오프라인,2018-01,7
이유진,2001-09-01,24,여,0550543726,sangho57@yuhanhoesa.kr,울산광역시 남구 달동 23-5,doyungim,2024-08-09,일반,소형 해치백,Santa-Fe ™,0,2025-03-07,50720000,현금,5,오프라인,2018-01,4
한순옥,1967-09-01,58,여,0537655303,seongjin46@daum.net,경상북도 포항시 남구 대도동 19-2,migyeong21,2022-08-25,일반,대형 suv,Santa-Fe ™,0,2024-03-02,42510000,카드,4,오프라인,2018-01,2
이성수,1996-02-04,29,남,0631752716,minjinam@live.com,부산광역시 해운대구 우동 101-12,jiweon44,2023-10-08,일반,대형 suv,Avante (CN7 N),0,2025-02-01,36500000,현금,5,온라인,2020-05,4
