이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,고객 세그먼트,차량구분,구매한 제품,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,Cluster,시구
심정희,1996-12-16,29,남,418472351,gimmiyeong@live.com,인천광역시 남동구 구월동 88-10,junseou,2022-09-10,일반,픽업트럭,G70 (IK),2024-12-06,36260000,현금,5,온라인,2017-09,4,인천광역시 남동구
김순옥,1999-04-19,26,여,180726912,qi@jusighoesa.com,서울특별시 강남구 역삼동 123-45,jongsu53,2024-10-22,vip,소형 해치백,Santa-Fe ™,2023-04-22,55710000,카드,2,오프라인,2018-01,3,서울특별시 강남구
이영순,1980-03-19,45,여,189888211,seoyeon50@yu.com,대전광역시 유성구 봉명동 44-2,hyeonju64,2023-03-28,일반,소형 해치백,G70 (IK),2023-04-22,59060000,현금,1,온라인,2017-09,3,대전광역시 유성구
우미영,1975-12-16,50,여,185453522,ei@jusighoesa.kr,울산광역시 남구 달동 23-5,sangceolhan,2023-10-09,vip,픽업트럭,G70 (IK),2024-12-11,37480000,현금,5,온라인,2017-09,4,울산광역시 남구
김정식,1974-12-16,51,여,517791002,bi@sonjin.net,부산광역시 해운대구 우동 101-12,hyejin16,2023-10-20,일반,픽업트럭,NEXO (FE),2023-09-28,39150000,카드,4,온라인,2018-01,4,부산광역시 해운대구
이시우,2000-09-21,25,남,613646763,ibaeg@jusighoesa.kr,경상남도 창원시 의창구 봉곡동 48-6,songjeongja,2023-11-15,이탈가능,중형 suv,Avante (CN7 N),2023-12-04,77130000,현금,1,오프라인,2020-05,1,경상남도 창원시
이서영,1964-02-21,61,남,229987447,jeongho43@live.com,울산광역시 남구 달동 23-5,mijeong80,2023-08-28,일반,준대형 세단,Santa-Fe ™,2024-08-09,56480000,현금,5,오프라인,2018-01,5,울산광역시 남구
김준서,1956-12-27,69,여,530544830,hwangjeongsu@live.com,경기도 수원시 영통구 원천동 12-34,yeonghyi20,2023-04-21,일반,픽업트럭,Santa-Fe ™,2024-07-02,80170000,현금,4,온라인,2018-01,5,경기도 수원시
김현준,1966-12-07,59,남,315247998,aan@naver.com,서울특별시 강남구 역삼동 123-45,miyeongbag,2023-10-09,일반,픽업트럭,Avante (CN7 N),2023-04-28,66410000,현금,1,온라인,2020-05,1,서울특별시 강남구
박숙자,1975-12-10,50,여,431031064,bagjeongja@dreamwiz.com,경상남도 창원시 의창구 봉곡동 48-6,eunseogim,2023-08-21,일반,픽업트럭,Santa-Fe ™,2024-10-15,57200000,카드,5,온라인,2018-01,5,경상남도 창원시
백준서,1970-11-29,55,여,7075610121,seonyeong40@hotmail.com,대구광역시 수성구 범어동 55-3,gimyeongho,2023-09-13,일반,준중형 세단,NEXO (FE),2024-01-30,67180000,현금,2,오프라인,2018-01,7,대구광역시 수성구
한성훈,1975-06-05,50,남,614017797,ngim@hotmail.com,대전광역시 유성구 봉명동 44-2,qyun,2022-04-21,일반,소형 해치백,Santa-Fe ™,2025-03-06,41600000,현금,5,오프라인,2018-01,4,대전광역시 유성구
이예원,1999-06-12,26,남,1085723457,minseog64@ju.net,광주광역시 서구 치평동 14-7,ghwang,2023-11-07,일반,픽업트럭,G70 (IK),2024-10-14,30670000,현금,5,온라인,2017-09,4,광주광역시 서구
최서현,1968-06-11,57,남,430796245,yeongsun54@baemungim.com,부산광역시 해운대구 우동 101-12,gyeongjabae,2023-05-07,일반,픽업트럭,Santa-Fe ™,2023-08-09,70970000,현금,3,온라인,2018-01,5,부산광역시 해운대구
박옥자,2002-12-16,23,여,117103793,minseog78@yu.com,서울특별시 강남구 역삼동 123-45,iseonyeong,2023-11-04,이탈가능,대형 suv,Santa-Fe ™,2025-02-16,64360000,현금,4,온라인,2018-01,3,서울특별시 강남구
김은서,1985-12-09,40,여,519026026,bi@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,gimjuweon,2023-11-27,이탈가능,준대형 세단,NEXO (FE),2025-01-10,36230000,현금,5,온라인,2018-01,4,경상북도 포항시
이순옥,1964-09-11,61,여,182479858,baghyeonju@isongwag.com,서울특별시 강남구 역삼동 123-45,sunogi,2024-07-07,일반,대형 suv,Santa-Fe ™,2023-04-25,73410000,현금,2,오프라인,2018-01,1,서울특별시 강남구
이도윤,1960-12-31,65,남,623012884,yeongjin28@gimsongo.com,대구광역시 수성구 범어동 55-3,sgweon,2022-08-17,일반,소형 해치백,Avante (CN7 N),2023-08-23,73150000,카드,5,오프라인,2020-05,5,대구광역시 수성구
서건우,1999-09-27,26,남,630800548,fbag@nate.com,인천광역시 남동구 구월동 88-10,lcoe,2023-06-12,일반,준대형 세단,G70 (IK),2023-08-02,62270000,현금,3,온라인,2017-09,3,인천광역시 남동구
김영일,1978-06-04,47,남,7018581107,sunja23@ju.org,충청북도 청주시 상당구 낙실동 9-1,fo,2022-08-30,일반,소형 해치백,G80 (RG3),2024-07-06,37090000,현금,2,오프라인,2020-03,2,충청북도 청주시
박도현,1983-06-25,42,여,169604239,lgim@bagju.com,인천광역시 남동구 구월동 88-10,gimjuweon,2025-02-27,신규,중형 suv,NEXO (FE),2024-08-21,43760000,현금,4,오프라인,2018-01,4,인천광역시 남동구
황영순,1974-10-29,51,남,430543941,seungminyun@ison.kr,인천광역시 남동구 구월동 88-10,wcoe,2023-06-10,일반,소형 해치백,Santa-Fe ™,2024-03-23,35610000,현금,2,오프라인,2018-01,2,인천광역시 남동구
안성민,1972-09-22,53,남,419540034,yeonggil75@ganggim.org,충청북도 청주시 상당구 낙실동 9-1,haeunju,2022-10-01,일반,준중형 세단,NEXO (FE),2024-03-25,44550000,현금,4,오프라인,2018-01,4,충청북도 청주시
이현준,1973-03-28,52,남,412983351,jeongung91@live.com,대전광역시 유성구 봉명동 44-2,xi,2025-01-27,vip,대형 suv,Avante (CN7 N),2023-10-10,61350000,카드,5,온라인,2020-05,5,대전광역시 유성구
김예지,1958-10-02,67,남,615692767,coeboram@nate.com,충청북도 청주시 상당구 낙실동 9-1,yeonghwan93,2023-06-29,이탈가능,준대형 세단,NEXO (FE),2023-06-02,69890000,현금,2,온라인,2018-01,1,충청북도 청주시
이영길,1955-12-04,70,여,189501292,hgim@naver.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-12-24,vip,소형 해치백,G70 (IK),2023-11-12,30220000,현금,1,오프라인,2017-09,2,충청남도 천안시
이준호,1996-10-26,29,여,647765924,sangceolgim@jusighoesa.com,울산광역시 남구 달동 23-5,miyeonggim,2024-03-08,일반,대형 suv,NEXO (FE),2023-11-30,57580000,현금,3,오프라인,2018-01,3,울산광역시 남구
한성수,1959-04-25,66,여,621606151,wyun@iim.net,경상남도 창원시 의창구 봉곡동 48-6,li,2022-07-16,이탈가능,준중형 세단,G80 (RG3),2023-06-08,62700000,카드,2,오프라인,2020-03,2,경상남도 창원시
이명숙,1992-01-31,33,여,517026616,songjaeho@gimi.com,인천광역시 남동구 구월동 88-10,jeonghyigim,2023-12-31,vip,준대형 세단,Avante (CN7 N),2023-09-23,68630000,현금,5,온라인,2020-05,0,인천광역시 남동구
김민석,2003-03-08,22,남,1023720942,songjeonghyi@naver.com,충청북도 청주시 상당구 낙실동 9-1,gwangsuson,2022-10-08,일반,픽업트럭,NEXO (FE),2023-08-10,85970000,카드,3,온라인,2018-01,0,충청북도 청주시
고수민,1996-02-24,29,남,531764468,pi@ju.com,경상북도 포항시 남구 대도동 19-2,gimjihye,2024-08-05,일반,중형 suv,NEXO (FE),2024-09-17,63570000,현금,1,온라인,2018-01,7,경상북도 포항시
서지훈,1969-07-24,56,남,550543608,seosiu@hotmail.com,부산광역시 해운대구 우동 101-12,bagseongho,2022-07-19,일반,소형 해치백,Avante (CN7 N),2023-11-02,32550000,현금,3,오프라인,2020-05,2,부산광역시 해운대구
김현우,1984-12-28,41,여,190362316,hyeonju80@ju.kr,경기도 수원시 영통구 원천동 12-34,yheo,2024-12-16,vip,중형 suv,Avante (CN7 N),2024-09-27,38140000,카드,5,오프라인,2020-05,4,경기도 수원시
김영환,1957-03-08,68,여,442148023,yeonghwani@dreamwiz.com,전라남도 목포시 부주동 77-8,sangceolhwang,2023-06-06,vip,픽업트럭,G70 (IK),2024-10-18,88650000,카드,5,오프라인,2017-09,5,전라남도 목포시
이건우,1958-07-27,67,남,193782527,minjungim@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,xgim,2022-08-20,일반,소형 해치백,Avante (CN7 N),2024-04-22,47730000,카드,3,온라인,2020-05,2,전라북도 전주시
진윤서,1988-01-21,37,남,559099267,oseong@yu.com,경기도 수원시 영통구 원천동 12-34,gimseongho,2023-11-04,일반,준대형 세단,Avante (CN7 N),2023-12-28,88470000,카드,1,온라인,2020-05,1,경기도 수원시
이영자,1982-09-28,43,여,312560870,baghaeun@naver.com,경기도 성남시 분당구 정자동 56-78,jia75,2023-01-16,vip,준대형 세단,G70 (IK),2024-01-29,83840000,현금,3,오프라인,2017-09,3,경기도 성남시
최명자,2000-11-20,25,남,548945954,gimseonghun@gimno.com,광주광역시 서구 치평동 14-7,caeweon09,2024-06-28,vip,준대형 세단,NEXO (FE),2023-11-26,58930000,카드,1,온라인,2018-01,7,광주광역시 서구
류민석,1971-03-27,54,남,7002152884,minji83@live.com,울산광역시 남구 달동 23-5,gimjihyeon,2022-10-13,vip,준중형 세단,G70 (IK),2024-01-01,67480000,현금,5,오프라인,2017-09,5,울산광역시 남구
성정자,1988-10-08,37,남,625749396,yeeun88@dreamwiz.com,울산광역시 남구 달동 23-5,imigyeong,2024-11-16,일반,픽업트럭,Santa-Fe ™,2023-10-12,66300000,현금,4,온라인,2018-01,4,울산광역시 남구
이영환,1998-04-21,27,남,449553033,yeongceol30@jusighoesa.kr,충청북도 청주시 상당구 낙실동 9-1,idoyun,2023-08-24,일반,소형 해치백,Santa-Fe ™,2023-11-03,70510000,현금,1,온라인,2018-01,3,충청북도 청주시
이준영,2002-11-12,23,여,541066090,mhwang@hanmail.net,서울특별시 강남구 역삼동 123-45,baggyeongsug,2025-01-20,신규,준대형 세단,Santa-Fe ™,2024-09-20,67020000,현금,1,온라인,2018-01,3,서울특별시 강남구
김경자,1962-11-22,63,여,539459083,gimogja@gimgimbag.org,서울특별시 종로구 청운동 67-89,gojihye,2023-01-14,이탈가능,준대형 세단,G70 (IK),2023-12-21,68300000,카드,4,온라인,2017-09,5,서울특별시 종로구
이혜진,1956-05-07,69,여,165436491,ycoe@dreamwiz.com,광주광역시 서구 치평동 14-7,jiweonmin,2024-06-10,일반,픽업트럭,G70 (IK),2023-03-14,42060000,현금,5,온라인,2017-09,5,광주광역시 서구
곽옥순,2001-04-07,24,여,247430405,yujini@hotmail.com,대전광역시 유성구 봉명동 44-2,jihyeyun,2023-01-01,일반,소형 해치백,Avante (CN7 N),2024-01-01,36550000,카드,3,오프라인,2020-05,6,대전광역시 유성구
김시우,1981-02-03,44,남,514161404,bagjiu@daum.net,전라남도 목포시 부주동 77-8,jihugim,2023-08-07,일반,중형 suv,Santa-Fe ™,2025-01-20,84370000,현금,2,오프라인,2018-01,1,전라남도 목포시
윤재호,1994-10-15,31,남,192747240,pi@gimiheo.org,대구광역시 수성구 범어동 55-3,bagyeongsun,2022-06-15,일반,대형 suv,G80 (RG3),2023-10-13,54340000,현금,2,온라인,2020-03,6,대구광역시 수성구
강종수,1982-09-28,43,남,541071543,seohyeonson@seoiha.com,대전광역시 유성구 봉명동 44-2,jihugim,2023-03-06,vip,준대형 세단,NEXO (FE),2024-07-26,39760000,카드,1,온라인,2018-01,7,대전광역시 유성구
성성수,1985-07-24,40,남,637492202,yeonghwan20@gmail.com,충청북도 청주시 상당구 낙실동 9-1,mijeong41,2023-01-12,일반,준중형 세단,G80 (RG3),2023-12-15,48800000,현금,1,오프라인,2020-03,6,충청북도 청주시
정지혜,1968-12-19,57,남,647829705,junseo28@daum.net,경기도 성남시 분당구 정자동 56-78,ggang,2023-07-10,이탈가능,중형 suv,Avante (CN7 N),2024-07-21,79230000,현금,2,온라인,2020-05,1,경기도 성남시
손아름,1997-08-25,28,남,627188934,ji@live.com,경상북도 포항시 남구 대도동 19-2,jinho57,2023-05-31,일반,대형 suv,NEXO (FE),2024-05-16,38860000,현금,3,온라인,2018-01,4,경상북도 포항시
조성호,1985-05-11,40,여,612229939,ygim@icoe.net,대구광역시 수성구 범어동 55-3,minjunheo,2023-10-06,일반,준중형 세단,Avante (CN7 N),2023-09-25,53910000,현금,3,온라인,2020-05,3,대구광역시 수성구
김수민,2000-07-04,25,남,424482472,hhwang@gimi.kr,경기도 수원시 영통구 원천동 12-34,kgang,2022-03-13,일반,픽업트럭,G80 (RG3),2023-03-27,38900000,카드,1,온라인,2020-03,6,경기도 수원시
김민준,1958-09-02,67,남,431656918,qyun@daum.net,전라남도 목포시 부주동 77-8,jihyegim,2024-01-12,이탈가능,대형 suv,NEXO (FE),2023-12-25,72930000,현금,1,오프라인,2018-01,1,전라남도 목포시
이경숙,1997-01-22,28,여,633188654,vseo@nate.com,충청남도 천안시 동남구 성성동 22-3,qcoe,2024-06-03,일반,준대형 세단,Avante (CN7 N),2023-10-20,55370000,현금,3,오프라인,2020-05,3,충청남도 천안시
황도윤,1976-06-02,49,남,113619602,sugja86@hanmail.net,서울특별시 종로구 청운동 67-89,yeonghyigim,2023-03-25,이탈가능,중형 suv,NEXO (FE),2023-11-29,65540000,현금,2,오프라인,2018-01,1,서울특별시 종로구
강영자,1956-03-06,69,여,437955239,qyun@nate.com,충청북도 청주시 상당구 낙실동 9-1,lgim,2024-01-10,일반,준대형 세단,NEXO (FE),2025-01-31,46520000,현금,5,오프라인,2018-01,5,충청북도 청주시
이지민,1989-10-30,36,여,328299655,vgim@ju.net,경기도 성남시 분당구 정자동 56-78,imyeongsug,2022-07-27,일반,준대형 세단,G70 (IK),2024-01-19,77710000,현금,1,온라인,2017-09,3,경기도 성남시
남지연,1987-02-22,38,남,531405696,minjae16@nate.com,경기도 수원시 영통구 원천동 12-34,hanyeongsig,2023-06-06,일반,준대형 세단,NEXO (FE),2023-04-22,51200000,현금,2,오프라인,2018-01,7,경기도 수원시
이은서,1963-10-11,62,남,338184794,gwangsugang@daum.net,서울특별시 강남구 역삼동 123-45,jiahan,2022-08-12,일반,준중형 세단,G70 (IK),2024-11-11,79370000,현금,1,오프라인,2017-09,1,서울특별시 강남구
정예원,1971-07-20,54,여,448839197,dgim@jigimryu.kr,경상북도 포항시 남구 대도동 19-2,sanghyeon96,2024-12-17,vip,소형 해치백,Avante (CN7 N),2023-10-08,68370000,현금,4,오프라인,2020-05,5,경상북도 포항시
신성현,1968-07-06,57,남,526914844,ahwang@jusighoesa.net,광주광역시 서구 치평동 14-7,jihugang,2023-05-06,vip,픽업트럭,NEXO (FE),2024-12-28,64060000,카드,5,오프라인,2018-01,5,광주광역시 서구
민정호,1969-08-16,56,여,412919081,seongsugim@naver.com,전라남도 목포시 부주동 77-8,sumini,2025-03-04,이탈가능,대형 suv,G70 (IK),2023-05-21,48970000,현금,5,오프라인,2017-09,5,전라남도 목포시
박지원,1963-12-25,62,남,7013782398,hayun60@live.com,경상남도 창원시 의창구 봉곡동 48-6,fseo,2024-08-25,일반,소형 해치백,G80 (RG3),2024-05-23,72510000,현금,4,오프라인,2020-03,5,경상남도 창원시
김영자,1976-10-26,49,남,520773080,jia19@yu.kr,전라남도 목포시 부주동 77-8,iyujin,2024-04-28,vip,대형 suv,NEXO (FE),2024-05-25,31010000,현금,4,오프라인,2018-01,4,전라남도 목포시
이서윤,1966-01-01,59,여,320941834,ji@daum.net,서울특별시 강남구 역삼동 123-45,jeongsugyang,2023-03-14,vip,대형 suv,G70 (IK),2023-10-12,35130000,현금,4,온라인,2017-09,2,서울특별시 강남구
송지은,1954-07-31,71,여,311940436,pcoe@daum.net,부산광역시 해운대구 우동 101-12,sugja08,2023-07-07,이탈가능,준대형 세단,G70 (IK),2024-10-29,81810000,카드,4,온라인,2017-09,5,부산광역시 해운대구
이서연,1989-03-12,36,남,544025332,gimjimin@dreamwiz.com,부산광역시 해운대구 우동 101-12,hyejinseo,2024-02-04,일반,준대형 세단,NEXO (FE),2023-12-05,36540000,카드,3,온라인,2018-01,7,부산광역시 해운대구
김성호,1985-06-25,40,여,163851242,ygim@hanmail.net,대구광역시 수성구 범어동 55-3,jia98,2022-08-04,이탈가능,소형 해치백,Santa-Fe ™,2024-03-02,49740000,현금,5,오프라인,2018-01,4,대구광역시 수성구
홍정숙,1955-01-05,70,남,333391865,minjae03@gmail.com,광주광역시 서구 치평동 14-7,jeongung32,2022-10-19,vip,소형 해치백,Santa-Fe ™,2024-04-25,89890000,카드,5,오프라인,2018-01,5,광주광역시 서구
박혜진,1978-05-30,47,남,529254265,idonghyeon@nate.com,서울특별시 종로구 청운동 67-89,sgim,2022-07-09,일반,중형 suv,G70 (IK),2023-12-11,72730000,카드,1,오프라인,2017-09,1,서울특별시 종로구
이정훈,1962-04-15,63,남,419564884,wi@jangjono.org,경기도 수원시 영통구 원천동 12-34,gyeongjaeom,2023-09-10,이탈가능,대형 suv,Avante (CN7 N),2025-01-11,34880000,현금,2,오프라인,2020-05,2,경기도 수원시
이승현,1982-02-17,43,여,112201097,sanghun90@yuhanhoesa.net,대전광역시 유성구 봉명동 44-2,yeongsig47,2024-08-01,vip,준중형 세단,Avante (CN7 N),2024-07-17,54290000,카드,4,오프라인,2020-05,0,대전광역시 유성구
박채원,1964-11-10,61,여,449042678,qmun@nate.com,부산광역시 해운대구 우동 101-12,yejison,2022-11-07,이탈가능,대형 suv,Avante (CN7 N),2024-10-14,72600000,현금,1,온라인,2020-05,1,부산광역시 해운대구
김중수,1971-02-07,54,여,326884921,jangyeongsun@seoian.org,울산광역시 남구 달동 23-5,doyun38,2023-12-31,일반,준대형 세단,NEXO (FE),2024-02-20,73080000,현금,4,온라인,2018-01,5,울산광역시 남구
김영호,1999-07-28,26,여,610092153,ogim@yu.kr,인천광역시 남동구 구월동 88-10,gimjeongsug,2022-09-21,vip,준중형 세단,Santa-Fe ™,2024-07-25,75840000,카드,4,온라인,2018-01,0,인천광역시 남동구
심동현,1999-01-19,26,여,7066159710,kcoe@gmail.com,서울특별시 강남구 역삼동 123-45,yejun41,2024-07-23,일반,대형 suv,G70 (IK),2024-07-16,76370000,현금,3,오프라인,2017-09,3,서울특별시 강남구
박민석,1957-08-08,68,남,533828342,gohyeonji@live.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-02-15,일반,준중형 세단,G80 (RG3),2024-05-18,59640000,현금,2,온라인,2020-03,2,충청남도 천안시
김병철,1969-01-04,56,남,413241120,vgang@jusighoesa.kr,서울특별시 종로구 청운동 67-89,seonghaeun,2023-12-08,이탈가능,준대형 세단,G70 (IK),2023-08-07,83300000,현금,2,온라인,2017-09,1,서울특별시 종로구
서영길,1972-04-13,53,여,435311236,hi@dreamwiz.com,대구광역시 수성구 범어동 55-3,pgo,2023-02-11,일반,소형 해치백,G80 (RG3),2023-11-03,53260000,현금,5,온라인,2020-03,5,대구광역시 수성구
홍현숙,1959-10-02,66,남,433424176,jangjunhyeog@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,eunju52,2024-11-17,일반,픽업트럭,G80 (RG3),2024-10-16,89120000,현금,4,오프라인,2020-03,5,충청북도 청주시
박아름,1956-10-06,69,남,517912267,yejin22@gimcoe.org,전라남도 목포시 부주동 77-8,qryu,2022-07-16,vip,중형 suv,Santa-Fe ™,2023-12-28,48390000,카드,2,온라인,2018-01,2,전라남도 목포시
김광수,1974-10-18,51,남,113980609,yunogja@angim.com,대구광역시 수성구 범어동 55-3,zgim,2022-09-03,vip,중형 suv,NEXO (FE),2024-01-11,36880000,카드,3,온라인,2018-01,7,대구광역시 수성구
오민준,1988-05-29,37,남,647312054,gimhyeonjeong@hwangbagryu.kr,울산광역시 남구 달동 23-5,yeonggil14,2024-08-13,이탈가능,소형 해치백,Santa-Fe ™,2025-02-28,89440000,현금,1,온라인,2018-01,1,울산광역시 남구
김성현,1973-09-24,52,남,623266677,gimseoyeong@yu.org,경기도 수원시 영통구 원천동 12-34,hayun28,2022-05-18,일반,중형 suv,G70 (IK),2025-03-05,73020000,현금,2,온라인,2017-09,1,경기도 수원시
김예진,1990-01-15,35,남,425170040,ji@hotmail.com,광주광역시 서구 치평동 14-7,songjeonghyi,2024-03-17,vip,소형 해치백,Avante (CN7 N),2024-05-16,42530000,카드,1,온라인,2020-05,6,광주광역시 서구
손준호,1986-03-05,39,남,7001507134,xgim@yu.kr,인천광역시 남동구 구월동 88-10,gimeunyeong,2023-03-05,일반,소형 해치백,G80 (RG3),2025-02-17,68170000,현금,1,오프라인,2020-03,1,인천광역시 남동구
최현우,1962-03-29,63,남,633547740,jihyeongim@jusighoesa.kr,인천광역시 남동구 구월동 88-10,bagyujin,2024-02-19,일반,소형 해치백,Santa-Fe ™,2024-10-07,63320000,현금,5,오프라인,2018-01,5,인천광역시 남동구
배재현,2001-12-02,24,여,547081976,dbag@daum.net,경기도 수원시 영통구 원천동 12-34,hyeonju98,2024-02-29,일반,대형 suv,G70 (IK),2023-05-09,83360000,현금,5,온라인,2017-09,0,경기도 수원시
서지영,1964-07-21,61,여,447411486,jihun48@ju.kr,충청남도 천안시 동남구 성성동 22-3,isujin,2023-03-16,vip,준중형 세단,G70 (IK),2023-10-08,38190000,현금,2,오프라인,2017-09,2,충청남도 천안시
김진호,2002-06-04,23,여,183151577,gimhyeonjun@gimgo.net,부산광역시 해운대구 우동 101-12,haeunjo,2022-12-16,일반,픽업트럭,Santa-Fe ™,2023-06-16,79000000,현금,1,온라인,2018-01,3,부산광역시 해운대구
이영철,1981-07-10,44,여,312245926,iyeongsun@yu.org,인천광역시 남동구 구월동 88-10,hgang,2023-05-23,일반,준중형 세단,G70 (IK),2023-03-20,45860000,현금,5,오프라인,2017-09,4,인천광역시 남동구
서지원,1973-05-11,52,여,516590158,gohyeonu@yuhanhoesa.com,전라남도 목포시 부주동 77-8,munjungsu,2023-06-29,vip,대형 suv,G80 (RG3),2025-01-22,67010000,현금,5,오프라인,2020-03,5,전라남도 목포시
조선영,1981-02-27,44,여,320863570,gimeunseo@live.com,서울특별시 종로구 청운동 67-89,sanghyeongo,2024-08-10,vip,픽업트럭,G70 (IK),2024-11-21,61290000,현금,2,오프라인,2017-09,3,서울특별시 종로구
권영자,1968-01-07,57,여,174458406,fi@yu.org,경기도 수원시 영통구 원천동 12-34,jaehyeon94,2024-04-20,이탈가능,소형 해치백,G80 (RG3),2024-07-18,83280000,현금,2,온라인,2020-03,1,경기도 수원시
정은지,1980-02-11,45,남,513269405,ji@nate.com,충청북도 청주시 상당구 낙실동 9-1,igim,2023-07-18,이탈가능,준중형 세단,Santa-Fe ™,2025-01-16,43090000,카드,3,온라인,2018-01,2,충청북도 청주시
이경희,1968-09-13,57,남,190316622,doyun69@gweonhwangseo.kr,경상남도 창원시 의창구 봉곡동 48-6,ogjabag,2022-06-14,일반,소형 해치백,G70 (IK),2023-11-25,59280000,현금,3,오프라인,2017-09,5,경상남도 창원시
문승민,1970-05-23,55,여,544705932,seojungim@ii.net,전라북도 전주시 완산구 덕진동 33-7,hi,2025-01-10,신규,픽업트럭,Santa-Fe ™,2024-07-19,57930000,현금,4,오프라인,2018-01,5,전라북도 전주시
서서윤,2002-06-10,23,여,321254223,ogsun81@yuhanhoesa.net,광주광역시 서구 치평동 14-7,hyeonju95,2023-02-18,일반,준중형 세단,Avante (CN7 N),2024-02-12,53260000,현금,5,온라인,2020-05,4,광주광역시 서구
지현우,1997-12-18,28,남,637021782,cunja82@yuhanhoesa.com,대구광역시 수성구 범어동 55-3,ibyeongceol,2022-10-04,일반,소형 해치백,G70 (IK),2025-01-13,56610000,현금,3,오프라인,2017-09,6,대구광역시 수성구
김현주,1979-05-16,46,남,426011611,sanghungweon@seoanbaeg.kr,전라북도 전주시 완산구 덕진동 33-7,haeungim,2024-11-14,일반,중형 suv,NEXO (FE),2023-08-25,53180000,카드,4,오프라인,2018-01,4,전라북도 전주시
박성수,1996-12-02,29,남,190682325,seonghuni@nate.com,부산광역시 해운대구 우동 101-12,gimyujin,2022-10-19,일반,소형 해치백,Santa-Fe ™,2024-12-09,43840000,현금,5,오프라인,2018-01,4,부산광역시 해운대구
이진호,1998-07-17,27,여,283505965,eunjeong74@ihongbag.com,서울특별시 강남구 역삼동 123-45,gimsangceol,2022-12-15,일반,준중형 세단,G70 (IK),2023-07-06,65040000,현금,3,온라인,2017-09,3,서울특별시 강남구
김영순,1978-06-28,47,여,181440592,yeweonyu@live.com,충청북도 청주시 상당구 낙실동 9-1,nha,2023-03-13,일반,대형 suv,NEXO (FE),2024-01-13,83610000,현금,2,오프라인,2018-01,3,충청북도 청주시
류민수,1958-07-06,67,여,423299343,vgim@hanji.org,충청북도 청주시 상당구 낙실동 9-1,ui,2022-10-26,일반,대형 suv,NEXO (FE),2023-08-04,39010000,현금,5,온라인,2018-01,5,충청북도 청주시
장정훈,1996-01-21,29,남,187002342,iujin@ju.com,광주광역시 서구 치평동 14-7,xgim,2023-10-21,이탈가능,소형 해치백,G80 (RG3),2024-01-24,84030000,현금,1,온라인,2020-03,1,광주광역시 서구
정현지,1955-05-03,70,남,115470199,jeongsu64@ju.kr,광주광역시 서구 치평동 14-7,hyeonsug49,2025-02-23,신규,준중형 세단,Avante (CN7 N),2024-10-10,84930000,현금,1,오프라인,2020-05,1,광주광역시 서구
류영희,1973-07-04,52,여,546531887,minjae88@gimi.org,경기도 성남시 분당구 정자동 56-78,fgim,2022-12-25,이탈가능,소형 해치백,G80 (RG3),2024-07-22,87610000,현금,2,오프라인,2020-03,1,경기도 성남시
김서현,1982-08-12,43,남,7022259369,gimjunseo@jusighoesa.com,전라북도 전주시 완산구 덕진동 33-7,boramo,2023-10-08,일반,중형 suv,Avante (CN7 N),2024-01-06,35370000,카드,1,오프라인,2020-05,6,전라북도 전주시
김상철,1974-04-23,51,남,420413141,xgim@hanmail.net,인천광역시 남동구 구월동 88-10,yangseoyeong,2024-01-19,일반,준중형 세단,G70 (IK),2024-10-17,39170000,현금,3,온라인,2017-09,2,인천광역시 남동구
김동현,1992-03-13,33,남,7055218455,gyeongsuggim@hanmail.net,서울특별시 종로구 청운동 67-89,pgim,2024-11-28,일반,준대형 세단,NEXO (FE),2023-08-04,42950000,현금,3,온라인,2018-01,7,서울특별시 종로구
안선영,1961-10-15,64,남,175907839,haeunnam@naver.com,부산광역시 해운대구 우동 101-12,ii,2022-03-19,일반,픽업트럭,Avante (CN7 N),2024-01-21,32870000,현금,1,오프라인,2020-05,2,부산광역시 해운대구
김명숙,2001-11-13,24,여,118115410,gwangsucoe@jusighoesa.kr,경기도 수원시 영통구 원천동 12-34,vi,2022-08-03,이탈가능,소형 해치백,NEXO (FE),2025-02-10,62260000,카드,3,온라인,2018-01,3,경기도 수원시
이은정,1985-04-01,40,여,436602321,yangseoyeong@daum.net,서울특별시 종로구 청운동 67-89,bagseungmin,2023-07-17,일반,준중형 세단,Santa-Fe ™,2024-06-21,88940000,현금,5,오프라인,2018-01,0,서울특별시 종로구
이지영,1978-03-06,47,여,429665944,donghyeoni@jusighoesa.kr,전라북도 전주시 완산구 덕진동 33-7,yujingim,2023-12-20,vip,준대형 세단,G80 (RG3),2023-07-05,68400000,현금,1,온라인,2020-03,3,전라북도 전주시
이진우,1969-10-25,56,여,328741296,honggyeongsu@gmail.com,경기도 성남시 분당구 정자동 56-78,jojaeho,2023-08-20,vip,중형 suv,NEXO (FE),2024-03-29,45780000,현금,1,오프라인,2018-01,7,경기도 성남시
