이름 (Name),생년월일 (Date of Birth),성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path),연령대,제품 출시년월 (Launch Date),Cluster
김현준,1966-12-07,남,031-524-7998,aan@naver.com,서울특별시 강남구 역삼동 123-45,miyeongbag,2023-10-09,픽업트럭,Avante (CN7 N),2023-04-28,66410000,현금,1,온라인,59,2020-05,4
박숙자,1975-12-10,여,043-103-1064,bagjeongja@dreamwiz.com,경상남도 창원시 의창구 봉곡동 48-6,eunseogim,2023-08-21,픽업트럭,Santa-Fe ™,2024-10-15,57200000,카드,5,온라인,50,2018-01,1
백준서,1970-11-29,여,070-7561-0121,seonyeong40@hotmail.com,대구광역시 수성구 범어동 55-3,gimyeongho,2023-09-13,준중형 세단,NEXO (FE),2024-01-30,67180000,현금,2,오프라인,55,2018-01,7
한성훈,1975-06-05,남,061-401-7797,ngim@hotmail.com,대전광역시 유성구 봉명동 44-2,qyun,2022-04-21,소형 해치백,Santa-Fe ™,2025-03-06,41600000,현금,5,오프라인,50,2018-01,2
이예원,1999-06-12,남,010-8572-3457,minseog64@ju.net,광주광역시 서구 치평동 14-7,ghwang,2023-11-07,픽업트럭,G70 (IK),2024-10-14,30670000,현금,5,온라인,26,2017-09,2
최서현,1968-06-11,남,043-079-6245,yeongsun54@baemungim.com,부산광역시 해운대구 우동 101-12,gyeongjabae,2023-05-07,픽업트럭,Santa-Fe ™,2023-08-09,70970000,현금,3,온라인,57,2018-01,3
박옥자,2002-12-16,여,011-710-3793,minseog78@yu.com,서울특별시 강남구 역삼동 123-45,iseonyeong,2023-11-04,대형 suv,Santa-Fe ™,2025-02-16,64360000,현금,4,온라인,23,2018-01,5
김은서,1985-12-09,여,051-902-6026,bi@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,gimjuweon,2023-11-27,준대형 세단,NEXO (FE),2025-01-10,36230000,현금,5,온라인,40,2018-01,2
이순옥,1964-09-11,여,018-247-9858,baghyeonju@isongwag.com,서울특별시 강남구 역삼동 123-45,sunogi,2024-07-07,대형 suv,Santa-Fe ™,2023-04-25,73410000,현금,2,오프라인,61,2018-01,4
이도윤,1960-12-31,남,062-301-2884,yeongjin28@gimsongo.com,대구광역시 수성구 범어동 55-3,sgweon,2022-08-17,소형 해치백,Avante (CN7 N),2023-08-23,73150000,카드,5,오프라인,65,2020-05,3
서건우,1999-09-27,남,063-080-0548,fbag@nate.com,인천광역시 남동구 구월동 88-10,lcoe,2023-06-12,준대형 세단,G70 (IK),2023-08-02,62270000,현금,3,온라인,26,2017-09,5
김영일,1978-06-04,남,070-1858-1107,sunja23@ju.org,충청북도 청주시 상당구 낙실동 9-1,fo,2022-08-30,소형 해치백,G80 (RG3),2024-07-06,37090000,현금,2,오프라인,47,2020-03,6
박도현,1983-06-25,여,016-960-4239,lgim@bagju.com,인천광역시 남동구 구월동 88-10,gimjuweon,2025-02-27,중형 suv,NEXO (FE),2024-08-21,43760000,현금,4,오프라인,42,2018-01,2
황영순,1974-10-29,남,043-054-3941,seungminyun@ison.kr,인천광역시 남동구 구월동 88-10,wcoe,2023-06-10,소형 해치백,Santa-Fe ™,2024-03-23,35610000,현금,2,오프라인,51,2018-01,6
안성민,1972-09-22,남,041-954-0034,yeonggil75@ganggim.org,충청북도 청주시 상당구 낙실동 9-1,haeunju,2022-10-01,준중형 세단,NEXO (FE),2024-03-25,44550000,현금,4,오프라인,53,2018-01,2
이현준,1973-03-28,남,041-298-3351,jeongung91@live.com,대전광역시 유성구 봉명동 44-2,xi,2025-01-27,대형 suv,Avante (CN7 N),2023-10-10,61350000,카드,5,온라인,52,2020-05,3
김예지,1958-10-02,남,061-569-2767,coeboram@nate.com,충청북도 청주시 상당구 낙실동 9-1,yeonghwan93,2023-06-29,준대형 세단,NEXO (FE),2023-06-02,69890000,현금,2,온라인,67,2018-01,4
이영길,1955-12-04,여,018-950-1292,hgim@naver.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-12-24,소형 해치백,G70 (IK),2023-11-12,30220000,현금,1,오프라인,70,2017-09,6
이준호,1996-10-26,여,064-776-5924,sangceolgim@jusighoesa.com,울산광역시 남구 달동 23-5,miyeonggim,2024-03-08,대형 suv,NEXO (FE),2023-11-30,57580000,현금,3,오프라인,29,2018-01,5
한성수,1959-04-25,여,062-160-6151,wyun@iim.net,경상남도 창원시 의창구 봉곡동 48-6,li,2022-07-16,준중형 세단,G80 (RG3),2023-06-08,62700000,카드,2,오프라인,66,2020-03,1
이명숙,1992-01-31,여,051-702-6616,songjaeho@gimi.com,인천광역시 남동구 구월동 88-10,jeonghyigim,2023-12-31,준대형 세단,Avante (CN7 N),2023-09-23,68630000,현금,5,온라인,33,2020-05,5
김민석,2003-03-08,남,010-2372-0942,songjeonghyi@naver.com,충청북도 청주시 상당구 낙실동 9-1,gwangsuson,2022-10-08,픽업트럭,NEXO (FE),2023-08-10,85970000,카드,3,온라인,22,2018-01,5
고수민,1996-02-24,남,053-176-4468,pi@ju.com,경상북도 포항시 남구 대도동 19-2,gimjihye,2024-08-05,중형 suv,NEXO (FE),2024-09-17,63570000,현금,1,온라인,29,2018-01,7
서지훈,1969-07-24,남,055-054-3608,seosiu@hotmail.com,부산광역시 해운대구 우동 101-12,bagseongho,2022-07-19,소형 해치백,Avante (CN7 N),2023-11-02,32550000,현금,3,오프라인,56,2020-05,6
김현우,1984-12-28,여,019-036-2316,hyeonju80@ju.kr,경기도 수원시 영통구 원천동 12-34,yheo,2024-12-16,중형 suv,Avante (CN7 N),2024-09-27,38140000,카드,5,오프라인,41,2020-05,2
김영환,1957-03-08,여,044-214-8023,yeonghwani@dreamwiz.com,전라남도 목포시 부주동 77-8,sangceolhwang,2023-06-06,픽업트럭,G70 (IK),2024-10-18,88650000,카드,5,오프라인,68,2017-09,3
이건우,1958-07-27,남,019-378-2527,minjungim@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,xgim,2022-08-20,소형 해치백,Avante (CN7 N),2024-04-22,47730000,카드,3,온라인,67,2020-05,1
진윤서,1988-01-21,남,055-909-9267,oseong@yu.com,경기도 수원시 영통구 원천동 12-34,gimseongho,2023-11-04,준대형 세단,Avante (CN7 N),2023-12-28,88470000,카드,1,온라인,37,2020-05,4
이영자,1982-09-28,여,031-256-0870,baghaeun@naver.com,경기도 성남시 분당구 정자동 56-78,jia75,2023-01-16,준대형 세단,G70 (IK),2024-01-29,83840000,현금,3,오프라인,43,2017-09,7
최명자,2000-11-20,남,054-894-5954,gimseonghun@gimno.com,광주광역시 서구 치평동 14-7,caeweon09,2024-06-28,준대형 세단,NEXO (FE),2023-11-26,58930000,카드,1,온라인,25,2018-01,8
류민석,1971-03-27,남,070-0215-2884,minji83@live.com,울산광역시 남구 달동 23-5,gimjihyeon,2022-10-13,준중형 세단,G70 (IK),2024-01-01,67480000,현금,5,오프라인,54,2017-09,3
성정자,1988-10-08,남,062-574-9396,yeeun88@dreamwiz.com,울산광역시 남구 달동 23-5,imigyeong,2024-11-16,픽업트럭,Santa-Fe ™,2023-10-12,66300000,현금,4,온라인,37,2018-01,5
이영환,1998-04-21,남,044-955-3033,yeongceol30@jusighoesa.kr,충청북도 청주시 상당구 낙실동 9-1,idoyun,2023-08-24,소형 해치백,Santa-Fe ™,2023-11-03,70510000,현금,1,온라인,27,2018-01,7
이준영,2002-11-12,여,054-106-6090,mhwang@hanmail.net,서울특별시 강남구 역삼동 123-45,baggyeongsug,2025-01-20,준대형 세단,Santa-Fe ™,2024-09-20,67020000,현금,1,온라인,23,2018-01,7
김경자,1962-11-22,여,053-945-9083,gimogja@gimgimbag.org,서울특별시 종로구 청운동 67-89,gojihye,2023-01-14,준대형 세단,G70 (IK),2023-12-21,68300000,카드,4,온라인,63,2017-09,0
이혜진,1956-05-07,여,016-543-6491,ycoe@dreamwiz.com,광주광역시 서구 치평동 14-7,jiweonmin,2024-06-10,픽업트럭,G70 (IK),2023-03-14,42060000,현금,5,온라인,69,2017-09,0
곽옥순,2001-04-07,여,02-4743-0405,yujini@hotmail.com,대전광역시 유성구 봉명동 44-2,jihyeyun,2023-01-01,소형 해치백,Avante (CN7 N),2024-01-01,36550000,카드,3,오프라인,24,2020-05,2
김시우,1981-02-03,남,051-416-1404,bagjiu@daum.net,전라남도 목포시 부주동 77-8,jihugim,2023-08-07,중형 suv,Santa-Fe ™,2025-01-20,84370000,현금,2,오프라인,44,2018-01,4
윤재호,1994-10-15,남,019-274-7240,pi@gimiheo.org,대구광역시 수성구 범어동 55-3,bagyeongsun,2022-06-15,대형 suv,G80 (RG3),2023-10-13,54340000,현금,2,온라인,31,2020-03,6
강종수,1982-09-28,남,054-107-1543,seohyeonson@seoiha.com,대전광역시 유성구 봉명동 44-2,jihugim,2023-03-06,준대형 세단,NEXO (FE),2024-07-26,39760000,카드,1,온라인,43,2018-01,8
성성수,1985-07-24,남,063-749-2202,yeonghwan20@gmail.com,충청북도 청주시 상당구 낙실동 9-1,mijeong41,2023-01-12,준중형 세단,G80 (RG3),2023-12-15,48800000,현금,1,오프라인,40,2020-03,6
정지혜,1968-12-19,남,064-782-9705,junseo28@daum.net,경기도 성남시 분당구 정자동 56-78,ggang,2023-07-10,중형 suv,Avante (CN7 N),2024-07-21,79230000,현금,2,온라인,57,2020-05,4
손아름,1997-08-25,남,062-718-8934,ji@live.com,경상북도 포항시 남구 대도동 19-2,jinho57,2023-05-31,대형 suv,NEXO (FE),2024-05-16,38860000,현금,3,온라인,28,2018-01,2
조성호,1985-05-11,여,061-222-9939,ygim@icoe.net,대구광역시 수성구 범어동 55-3,minjunheo,2023-10-06,준중형 세단,Avante (CN7 N),2023-09-25,53910000,현금,3,온라인,40,2020-05,2
김수민,2000-07-04,남,042-448-2472,hhwang@gimi.kr,경기도 수원시 영통구 원천동 12-34,kgang,2022-03-13,픽업트럭,G80 (RG3),2023-03-27,38900000,카드,1,온라인,25,2020-03,8
김민준,1958-09-02,남,043-165-6918,qyun@daum.net,전라남도 목포시 부주동 77-8,jihyegim,2024-01-12,대형 suv,NEXO (FE),2023-12-25,72930000,현금,1,오프라인,67,2018-01,4
이경숙,1997-01-22,여,063-318-8654,vseo@nate.com,충청남도 천안시 동남구 성성동 22-3,qcoe,2024-06-03,준대형 세단,Avante (CN7 N),2023-10-20,55370000,현금,3,오프라인,28,2020-05,5
황도윤,1976-06-02,남,011-361-9602,sugja86@hanmail.net,서울특별시 종로구 청운동 67-89,yeonghyigim,2023-03-25,중형 suv,NEXO (FE),2023-11-29,65540000,현금,2,오프라인,49,2018-01,4
강영자,1956-03-06,여,043-795-5239,qyun@nate.com,충청북도 청주시 상당구 낙실동 9-1,lgim,2024-01-10,준대형 세단,NEXO (FE),2025-01-31,46520000,현금,5,오프라인,69,2018-01,0
이지민,1989-10-30,여,032-829-9655,vgim@ju.net,경기도 성남시 분당구 정자동 56-78,imyeongsug,2022-07-27,준대형 세단,G70 (IK),2024-01-19,77710000,현금,1,온라인,36,2017-09,7
남지연,1987-02-22,남,053-140-5696,minjae16@nate.com,경기도 수원시 영통구 원천동 12-34,hanyeongsig,2023-06-06,준대형 세단,NEXO (FE),2023-04-22,51200000,현금,2,오프라인,38,2018-01,6
이은서,1963-10-11,남,033-818-4794,gwangsugang@daum.net,서울특별시 강남구 역삼동 123-45,jiahan,2022-08-12,준중형 세단,G70 (IK),2024-11-11,79370000,현금,1,오프라인,62,2017-09,4
정예원,1971-07-20,여,044-883-9197,dgim@jigimryu.kr,경상북도 포항시 남구 대도동 19-2,sanghyeon96,2024-12-17,소형 해치백,Avante (CN7 N),2023-10-08,68370000,현금,4,오프라인,54,2020-05,0
신성현,1968-07-06,남,052-691-4844,ahwang@jusighoesa.net,광주광역시 서구 치평동 14-7,jihugang,2023-05-06,픽업트럭,NEXO (FE),2024-12-28,64060000,카드,5,오프라인,57,2018-01,3
민정호,1969-08-16,여,041-291-9081,seongsugim@naver.com,전라남도 목포시 부주동 77-8,sumini,2025-03-04,대형 suv,G70 (IK),2023-05-21,48970000,현금,5,오프라인,56,2017-09,0
박지원,1963-12-25,남,070-1378-2398,hayun60@live.com,경상남도 창원시 의창구 봉곡동 48-6,fseo,2024-08-25,소형 해치백,G80 (RG3),2024-05-23,72510000,현금,4,오프라인,62,2020-03,3
김영자,1976-10-26,남,052-077-3080,jia19@yu.kr,전라남도 목포시 부주동 77-8,iyujin,2024-04-28,대형 suv,NEXO (FE),2024-05-25,31010000,현금,4,오프라인,49,2018-01,2
이서윤,1966-01-01,여,032-094-1834,ji@daum.net,서울특별시 강남구 역삼동 123-45,jeongsugyang,2023-03-14,대형 suv,G70 (IK),2023-10-12,35130000,현금,4,온라인,59,2017-09,0
송지은,1954-07-31,여,031-194-0436,pcoe@daum.net,부산광역시 해운대구 우동 101-12,sugja08,2023-07-07,준대형 세단,G70 (IK),2024-10-29,81810000,카드,4,온라인,71,2017-09,3
이서연,1989-03-12,남,054-402-5332,gimjimin@dreamwiz.com,부산광역시 해운대구 우동 101-12,hyejinseo,2024-02-04,준대형 세단,NEXO (FE),2023-12-05,36540000,카드,3,온라인,36,2018-01,8
김성호,1985-06-25,여,016-385-1242,ygim@hanmail.net,대구광역시 수성구 범어동 55-3,jia98,2022-08-04,소형 해치백,Santa-Fe ™,2024-03-02,49740000,현금,5,오프라인,40,2018-01,2
홍정숙,1955-01-05,남,033-339-1865,minjae03@gmail.com,광주광역시 서구 치평동 14-7,jeongung32,2022-10-19,소형 해치백,Santa-Fe ™,2024-04-25,89890000,카드,5,오프라인,70,2018-01,3
박혜진,1978-05-30,남,052-925-4265,idonghyeon@nate.com,서울특별시 종로구 청운동 67-89,sgim,2022-07-09,중형 suv,G70 (IK),2023-12-11,72730000,카드,1,오프라인,47,2017-09,4
이정훈,1962-04-15,남,041-956-4884,wi@jangjono.org,경기도 수원시 영통구 원천동 12-34,gyeongjaeom,2023-09-10,대형 suv,Avante (CN7 N),2025-01-11,34880000,현금,2,오프라인,63,2020-05,6
이승현,1982-02-17,여,011-220-1097,sanghun90@yuhanhoesa.net,대전광역시 유성구 봉명동 44-2,yeongsig47,2024-08-01,준중형 세단,Avante (CN7 N),2024-07-17,54290000,카드,4,오프라인,43,2020-05,1
박채원,1964-11-10,여,044-904-2678,qmun@nate.com,부산광역시 해운대구 우동 101-12,yejison,2022-11-07,대형 suv,Avante (CN7 N),2024-10-14,72600000,현금,1,온라인,61,2020-05,4
김중수,1971-02-07,여,032-688-4921,jangyeongsun@seoian.org,울산광역시 남구 달동 23-5,doyun38,2023-12-31,준대형 세단,NEXO (FE),2024-02-20,73080000,현금,4,온라인,54,2018-01,0
김영호,1999-07-28,여,061-009-2153,ogim@yu.kr,인천광역시 남동구 구월동 88-10,gimjeongsug,2022-09-21,준중형 세단,Santa-Fe ™,2024-07-25,75840000,카드,4,온라인,26,2018-01,5
심동현,1999-01-19,여,070-6615-9710,kcoe@gmail.com,서울특별시 강남구 역삼동 123-45,yejun41,2024-07-23,대형 suv,G70 (IK),2024-07-16,76370000,현금,3,오프라인,26,2017-09,5
박민석,1957-08-08,남,053-382-8342,gohyeonji@live.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-02-15,준중형 세단,G80 (RG3),2024-05-18,59640000,현금,2,온라인,68,2020-03,6
김병철,1969-01-04,남,041-324-1120,vgang@jusighoesa.kr,서울특별시 종로구 청운동 67-89,seonghaeun,2023-12-08,준대형 세단,G70 (IK),2023-08-07,83300000,현금,2,온라인,56,2017-09,4
서영길,1972-04-13,여,043-531-1236,hi@dreamwiz.com,대구광역시 수성구 범어동 55-3,pgo,2023-02-11,소형 해치백,G80 (RG3),2023-11-03,53260000,현금,5,온라인,53,2020-03,0
홍현숙,1959-10-02,남,043-342-4176,jangjunhyeog@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,eunju52,2024-11-17,픽업트럭,G80 (RG3),2024-10-16,89120000,현금,4,오프라인,66,2020-03,3
박아름,1956-10-06,남,051-791-2267,yejin22@gimcoe.org,전라남도 목포시 부주동 77-8,qryu,2022-07-16,중형 suv,Santa-Fe ™,2023-12-28,48390000,카드,2,온라인,69,2018-01,1
김광수,1974-10-18,남,011-398-0609,yunogja@angim.com,대구광역시 수성구 범어동 55-3,zgim,2022-09-03,중형 suv,NEXO (FE),2024-01-11,36880000,카드,3,온라인,51,2018-01,1
오민준,1988-05-29,남,064-731-2054,gimhyeonjeong@hwangbagryu.kr,울산광역시 남구 달동 23-5,yeonggil14,2024-08-13,소형 해치백,Santa-Fe ™,2025-02-28,89440000,현금,1,온라인,37,2018-01,7
김성현,1973-09-24,남,062-326-6677,gimseoyeong@yu.org,경기도 수원시 영통구 원천동 12-34,hayun28,2022-05-18,중형 suv,G70 (IK),2025-03-05,73020000,현금,2,온라인,52,2017-09,4
김예진,1990-01-15,남,042-517-0040,ji@hotmail.com,광주광역시 서구 치평동 14-7,songjeonghyi,2024-03-17,소형 해치백,Avante (CN7 N),2024-05-16,42530000,카드,1,온라인,35,2020-05,8
손준호,1986-03-05,남,070-0150-7134,xgim@yu.kr,인천광역시 남동구 구월동 88-10,gimeunyeong,2023-03-05,소형 해치백,G80 (RG3),2025-02-17,68170000,현금,1,오프라인,39,2020-03,7
최현우,1962-03-29,남,063-354-7740,jihyeongim@jusighoesa.kr,인천광역시 남동구 구월동 88-10,bagyujin,2024-02-19,소형 해치백,Santa-Fe ™,2024-10-07,63320000,현금,5,오프라인,63,2018-01,3
배재현,2001-12-02,여,054-708-1976,dbag@daum.net,경기도 수원시 영통구 원천동 12-34,hyeonju98,2024-02-29,대형 suv,G70 (IK),2023-05-09,83360000,현금,5,온라인,24,2017-09,5
서지영,1964-07-21,여,044-741-1486,jihun48@ju.kr,충청남도 천안시 동남구 성성동 22-3,isujin,2023-03-16,준중형 세단,G70 (IK),2023-10-08,38190000,현금,2,오프라인,61,2017-09,6
김진호,2002-06-04,여,018-315-1577,gimhyeonjun@gimgo.net,부산광역시 해운대구 우동 101-12,haeunjo,2022-12-16,픽업트럭,Santa-Fe ™,2023-06-16,79000000,현금,1,온라인,23,2018-01,7
이영철,1981-07-10,여,031-224-5926,iyeongsun@yu.org,인천광역시 남동구 구월동 88-10,hgang,2023-05-23,준중형 세단,G70 (IK),2023-03-20,45860000,현금,5,오프라인,44,2017-09,2
서지원,1973-05-11,여,051-659-0158,gohyeonu@yuhanhoesa.com,전라남도 목포시 부주동 77-8,munjungsu,2023-06-29,대형 suv,G80 (RG3),2025-01-22,67010000,현금,5,오프라인,52,2020-03,0
조선영,1981-02-27,여,032-086-3570,gimeunseo@live.com,서울특별시 종로구 청운동 67-89,sanghyeongo,2024-08-10,픽업트럭,G70 (IK),2024-11-21,61290000,현금,2,오프라인,44,2017-09,7
권영자,1968-01-07,여,017-445-8406,fi@yu.org,경기도 수원시 영통구 원천동 12-34,jaehyeon94,2024-04-20,소형 해치백,G80 (RG3),2024-07-18,83280000,현금,2,온라인,57,2020-03,4
정은지,1980-02-11,남,051-326-9405,ji@nate.com,충청북도 청주시 상당구 낙실동 9-1,igim,2023-07-18,준중형 세단,Santa-Fe ™,2025-01-16,43090000,카드,3,온라인,45,2018-01,1
이경희,1968-09-13,남,019-031-6622,doyun69@gweonhwangseo.kr,경상남도 창원시 의창구 봉곡동 48-6,ogjabag,2022-06-14,소형 해치백,G70 (IK),2023-11-25,59280000,현금,3,오프라인,57,2017-09,6
문승민,1970-05-23,여,054-470-5932,seojungim@ii.net,전라북도 전주시 완산구 덕진동 33-7,hi,2025-01-10,픽업트럭,Santa-Fe ™,2024-07-19,57930000,현금,4,오프라인,55,2018-01,0
서서윤,2002-06-10,여,032-125-4223,ogsun81@yuhanhoesa.net,광주광역시 서구 치평동 14-7,hyeonju95,2023-02-18,준중형 세단,Avante (CN7 N),2024-02-12,53260000,현금,5,온라인,23,2020-05,2
지현우,1997-12-18,남,063-702-1782,cunja82@yuhanhoesa.com,대구광역시 수성구 범어동 55-3,ibyeongceol,2022-10-04,소형 해치백,G70 (IK),2025-01-13,56610000,현금,3,오프라인,28,2017-09,5
김현주,1979-05-16,남,042-601-1611,sanghungweon@seoanbaeg.kr,전라북도 전주시 완산구 덕진동 33-7,haeungim,2024-11-14,중형 suv,NEXO (FE),2023-08-25,53180000,카드,4,오프라인,46,2018-01,1
박성수,1996-12-02,남,019-068-2325,seonghuni@nate.com,부산광역시 해운대구 우동 101-12,gimyujin,2022-10-19,소형 해치백,Santa-Fe ™,2024-12-09,43840000,현금,5,오프라인,29,2018-01,2
이진호,1998-07-17,여,02-8350-5965,eunjeong74@ihongbag.com,서울특별시 강남구 역삼동 123-45,gimsangceol,2022-12-15,준중형 세단,G70 (IK),2023-07-06,65040000,현금,3,온라인,27,2017-09,5
김영순,1978-06-28,여,018-144-0592,yeweonyu@live.com,충청북도 청주시 상당구 낙실동 9-1,nha,2023-03-13,대형 suv,NEXO (FE),2024-01-13,83610000,현금,2,오프라인,47,2018-01,7
류민수,1958-07-06,여,042-329-9343,vgim@hanji.org,충청북도 청주시 상당구 낙실동 9-1,ui,2022-10-26,대형 suv,NEXO (FE),2023-08-04,39010000,현금,5,온라인,67,2018-01,0
장정훈,1996-01-21,남,018-700-2342,iujin@ju.com,광주광역시 서구 치평동 14-7,xgim,2023-10-21,소형 해치백,G80 (RG3),2024-01-24,84030000,현금,1,온라인,29,2020-03,7
정현지,1955-05-03,남,011-547-0199,jeongsu64@ju.kr,광주광역시 서구 치평동 14-7,hyeonsug49,2025-02-23,준중형 세단,Avante (CN7 N),2024-10-10,84930000,현금,1,오프라인,70,2020-05,4
류영희,1973-07-04,여,054-653-1887,minjae88@gimi.org,경기도 성남시 분당구 정자동 56-78,fgim,2022-12-25,소형 해치백,G80 (RG3),2024-07-22,87610000,현금,2,오프라인,52,2020-03,4
김서현,1982-08-12,남,070-2225-9369,gimjunseo@jusighoesa.com,전라북도 전주시 완산구 덕진동 33-7,boramo,2023-10-08,중형 suv,Avante (CN7 N),2024-01-06,35370000,카드,1,오프라인,43,2020-05,8
김상철,1974-04-23,남,042-041-3141,xgim@hanmail.net,인천광역시 남동구 구월동 88-10,yangseoyeong,2024-01-19,준중형 세단,G70 (IK),2024-10-17,39170000,현금,3,온라인,51,2017-09,6
김동현,1992-03-13,남,070-5521-8455,gyeongsuggim@hanmail.net,서울특별시 종로구 청운동 67-89,pgim,2024-11-28,준대형 세단,NEXO (FE),2023-08-04,42950000,현금,3,온라인,33,2018-01,2
안선영,1961-10-15,남,017-590-7839,haeunnam@naver.com,부산광역시 해운대구 우동 101-12,ii,2022-03-19,픽업트럭,Avante (CN7 N),2024-01-21,32870000,현금,1,오프라인,64,2020-05,6
김명숙,2001-11-13,여,011-811-5410,gwangsucoe@jusighoesa.kr,경기도 수원시 영통구 원천동 12-34,vi,2022-08-03,소형 해치백,NEXO (FE),2025-02-10,62260000,카드,3,온라인,24,2018-01,5
이은정,1985-04-01,여,043-660-2321,yangseoyeong@daum.net,서울특별시 종로구 청운동 67-89,bagseungmin,2023-07-17,준중형 세단,Santa-Fe ™,2024-06-21,88940000,현금,5,오프라인,40,2018-01,5
이지영,1978-03-06,여,042-966-5944,donghyeoni@jusighoesa.kr,전라북도 전주시 완산구 덕진동 33-7,yujingim,2023-12-20,준대형 세단,G80 (RG3),2023-07-05,68400000,현금,1,온라인,47,2020-03,7
이진우,1969-10-25,여,032-874-1296,honggyeongsu@gmail.com,경기도 성남시 분당구 정자동 56-78,jojaeho,2023-08-20,중형 suv,NEXO (FE),2024-03-29,45780000,현금,1,오프라인,56,2018-01,6
오서연,1995-07-07,여,032-366-4016,ojeonghun@yu.com,경기도 수원시 영통구 원천동 12-34,caeweon59,2022-10-24,픽업트럭,Avante (CN7 N),2023-06-09,32920000,카드,1,온라인,30,2020-05,8
김정희,1997-10-12,여,019-311-5666,hanjeongung@ju.com,충청북도 청주시 상당구 낙실동 9-1,wi,2023-05-04,준중형 세단,G70 (IK),2024-12-03,86690000,카드,3,온라인,28,2017-09,5
이지혜,2003-05-26,여,051-856-0687,ijinho@gmail.com,전라북도 전주시 완산구 덕진동 33-7,ecoe,2023-12-25,픽업트럭,G70 (IK),2024-07-22,84800000,현금,3,온라인,22,2017-09,5
윤성훈,1955-06-23,여,052-366-0874,jjo@gmail.com,경기도 수원시 영통구 원천동 12-34,gimjeongsug,2023-06-26,대형 suv,G80 (RG3),2023-03-25,83330000,현금,1,온라인,70,2020-03,4
김서연,1961-05-28,남,019-466-0745,yi@gmail.com,광주광역시 서구 치평동 14-7,dohyeonbae,2024-06-22,준중형 세단,G70 (IK),2023-08-27,55580000,카드,5,오프라인,64,2017-09,3
손지후,1959-04-27,여,053-528-3443,qyun@hanmail.net,경기도 수원시 영통구 원천동 12-34,seongjinbae,2022-08-15,소형 해치백,Avante (CN7 N),2025-02-10,54060000,현금,2,온라인,66,2020-05,0
전정수,2002-07-01,여,043-736-9120,yeongsuggim@live.com,경기도 성남시 분당구 정자동 56-78,byeongceol79,2025-03-07,중형 suv,NEXO (FE),2024-01-16,62760000,카드,2,오프라인,23,2018-01,7
구주원,1963-09-08,여,061-310-8327,gimyeeun@hanmail.net,충청북도 청주시 상당구 낙실동 9-1,lgweon,2024-02-27,준대형 세단,G70 (IK),2024-12-26,67440000,현금,5,온라인,62,2017-09,0
박영호,1995-01-09,남,042-918-1515,seojun75@hotmail.com,경기도 수원시 영통구 원천동 12-34,gwangsu15,2024-04-20,픽업트럭,NEXO (FE),2023-06-11,44780000,현금,4,오프라인,30,2018-01,2
박현정,1977-03-28,남,010-3801-5326,siusin@najeonggim.kr,서울특별시 종로구 청운동 67-89,jeongjaryu,2023-06-24,소형 해치백,NEXO (FE),2024-07-21,46850000,현금,1,오프라인,48,2018-01,6
이유진,2001-09-01,여,055-054-3726,sangho57@yuhanhoesa.kr,울산광역시 남구 달동 23-5,doyungim,2024-08-09,소형 해치백,Santa-Fe ™,2025-03-07,50720000,현금,5,오프라인,24,2018-01,2
한순옥,1967-09-01,여,053-765-5303,seongjin46@daum.net,경상북도 포항시 남구 대도동 19-2,migyeong21,2022-08-25,대형 suv,Santa-Fe ™,2024-03-02,42510000,카드,4,오프라인,58,2018-01,1
이성수,1996-02-04,남,063-175-2716,minjinam@live.com,부산광역시 해운대구 우동 101-12,jiweon44,2023-10-08,대형 suv,Avante (CN7 N),2025-02-01,36500000,현금,5,온라인,29,2020-05,2
박민수,1982-08-24,여,032-655-9227,xgim@nate.com,서울특별시 강남구 역삼동 123-45,gyeonghyi14,2024-10-11,소형 해치백,G80 (RG3),2024-02-09,88690000,현금,4,온라인,43,2020-03,5
노지훈,1974-10-12,여,061-910-6439,misug04@hotmail.com,경기도 성남시 분당구 정자동 56-78,sujin21,2023-03-30,픽업트럭,NEXO (FE),2023-08-07,33070000,카드,3,오프라인,51,2018-01,1
권민서,1963-12-17,남,017-025-2354,gimjunseo@hanmail.net,울산광역시 남구 달동 23-5,dim,2022-12-06,준대형 세단,G70 (IK),2025-01-01,84160000,현금,1,온라인,62,2017-09,4
최상철,1983-04-17,남,055-078-4271,gimeunjeong@dreamwiz.com,서울특별시 종로구 청운동 67-89,bagdoyun,2025-01-02,준대형 세단,G70 (IK),2024-09-25,36850000,카드,3,온라인,42,2017-09,8
최중수,1986-12-26,여,041-417-0559,yi@yuhanhoesa.com,경기도 성남시 분당구 정자동 56-78,hyeonjun76,2024-10-02,준대형 세단,Avante (CN7 N),2024-06-19,59410000,카드,1,오프라인,39,2020-05,8
